市町村名,2020-03-01_人口,2020-02-01_人口,2020-02-01_増減数,2020-02-01-増減率,2019-02-01_人口,2019-02-01_増減数,2019-02-01_増減率
県    計 Okinawa-ken,1457451,1457163,288,0.019764432668136645,1451392,6059,0.41746130611165005
(Cities),,,,,,,
市 部 計 All shi,1127260,1126982,278,0.024667652189653427,1122351,4909,0.43738545250104466
,,,,,,,
那 覇 市 Naha-shi,317951,317992,-41,-0.012893406123424489,318482,-531,-0.16672841793256762
宜野湾市 Ginowan-shi,98589,98534,55,0.055818296222623666,97528,1061,1.0878927077352145
石 垣 市 Ishigaki-shi,48236,48243,-7,-0.014509877080612731,47997,239,0.4979477884034419
浦 添 市 Urasoe-shi,115727,115632,95,0.08215718832157189,114854,873,0.7600954254967176
名 護 市 Nago-shi,62725,62833,-108,-0.1718842009771935,62540,185,0.295810681164055
糸 満 市 Itoman-shi,60765,60704,61,0.10048761201897734,60312,453,0.7510943095901312
沖 縄 市 Okinawa-shi,141799,141766,33,0.023277795804353654,141321,478,0.33823706313994384
豊見城市 Tomigusuku-shi,63878,63918,-40,-0.06258018085672268,63395,483,0.7618897389384021
うるま市 Uruma-shi,121607,121470,137,0.1127850498065366,121104,503,0.4153454881754525
宮古島市 Miyakojima-shi,52303,52282,21,0.04016678780459814,51486,817,1.5868391407372877
南 城 市 Nanjo-shi,43680,43608,72,0.1651073197578426,43332,348,0.8031016338964275
(Towns & Villages),,,,,,,
郡 部 計 All gun,330191,330181,10,0.003028641866127972,329041,1150,0.3495005181725074
,,,,,,,
国 頭 郡 Kunigami-gun,63409,63430,-21,-0.033107362446791744,63714,-305,-0.47870169821389336
,,,,,,,
国 頭 村 Kunigami-son,4574,4582,-8,-0.1745962461807071,4640,-66,-1.4224137931034484
大宜味村 Ogimi-son,2932,2933,-1,-0.03409478349812479,2950,-18,-0.6101694915254238
東    村 Higashi-son,1588,1599,-11,-0.6879299562226392,1633,-45,-2.7556644213104717
今帰仁村 Nakijin-son,9284,9288,-4,-0.04306632213608958,9333,-49,-0.5250187506696669
本 部 町 Motobu-cho,13113,13106,7,0.053410651609949636,13138,-25,-0.190287715025118
恩 納 村 Onna-son,10786,10797,-11,-0.10188015189404463,10768,18,0.16716196136701336
宜野座村 Ginoza-son,5801,5789,12,0.20728968733805492,5749,52,0.9045051313271874
金 武 町 Kin-cho,11241,11239,2,0.017795177506895632,11338,-97,-0.8555300758511202
伊 江 村 Ie-son,4090,4097,-7,-0.1708567244325116,4165,-75,-1.800720288115246
,,,,,,,
中 頭 郡 Nakagami-gun,154506,154478,28,0.01812555833193076,153835,671,0.43618162316767967
,,,,,,,
読 谷 村 Yomitan-son,39615,39593,22,0.055565377718283536,39568,47,0.11878285483218763
嘉手納町 Kadena-cho,13450,13435,15,0.11164867882396724,13576,-126,-0.9281084266352386
北 谷 町 Chatan-cho,28246,28239,7,0.024788413187435816,28341,-95,-0.33520341554638156
北中城村 Kitanakagusuku-son,16786,16764,22,0.13123359580052493,16579,207,1.2485674648651908
中 城 村 Nakagusuku-son,21691,21664,27,0.12463072378138848,21189,502,2.3691538062202087
西 原 町 Nishihara-cho,34718,34783,-65,-0.18687289767990112,34582,136,0.3932681741946677
,,,,,,,
島 尻 郡 Shimajiri-gun,104979,104988,-9,-0.008572408275231454,104190,789,0.7572703714367981
,,,,,,,
与那原町 Yonabaru-cho,19588,19598,-10,-0.051025614858659044,19412,176,0.906655676900886
南風原町 Haebaru-cho,40169,40155,14,0.034864898518241816,39571,598,1.5112077026104975
渡嘉敷村 Tokashiki-son,750,749,1,0.13351134846461948,762,-12,-1.574803149606299
座間味村 Zamami-son,884,889,-5,-0.562429696287964,898,-14,-1.55902004454343
粟 国 村 Aguni-son,713,712,1,0.1404494382022472,718,-5,-0.6963788300835655
渡名喜村 Tonaki-son,393,392,1,0.25510204081632654,414,-21,-5.072463768115942
南大東村 Minamidaito-son,1326,1322,4,0.30257186081694404,1312,14,1.0670731707317074
北大東村 Kitadaito-son,629,631,-2,-0.31695721077654515,626,3,0.4792332268370607
伊平屋村 Iheya-son,1188,1191,-3,-0.2518891687657431,1199,-11,-0.9174311926605505
伊是名村 Izena-son,1382,1392,-10,-0.7183908045977011,1408,-26,-1.8465909090909092
久米島町 Kumejima-cho,7271,7276,-5,-0.06871907641561298,7351,-80,-1.0882873078492723
八重瀬町 Yaese-cho,30686,30681,5,0.016296730875786317,30519,167,0.5472001048527148
 ,,,,,,,
宮 古 郡 Miyako-gun,1111,1113,-2,-0.17969451931716085,1156,-45,-3.8927335640138407
,,,,,,,
多良間村 Tarama-son,1111,1113,-2,-0.17969451931716085,1156,-45,-3.8927335640138407
,,,,,,,
八重山郡 Yaeyama-gun,6186,6172,14,0.22683084899546338,6146,40,0.6508298080052066
,,,,,,,
竹 富 町 Taketomi-cho,4108,4093,15,0.3664793549963352,4075,33,0.8098159509202454
与那国町 Yonaguni-cho,2078,2079,-1,-0.0481000481000481,2071,7,0.3380009657170449
