,displacement,horsepower,weight,cylinders_3,cylinders_4,cylinders_5,cylinders_6,cylinders_8,model year_70,model year_71,model year_72,model year_73,model year_74,model year_75,model year_76,model year_77,model year_78,model year_79,model year_80,model year_81,model year_82,origin_1,origin_2,origin_3,mpg
0,145.0,76.0,3160.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,27.480783494132375
1,250.0,98.0,3525.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20.698387959314683
2,119.0,92.0,2434.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,34.925039765210805
3,258.0,110.0,2962.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.480553408895
4,97.0,88.0,2100.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25.993518813742526
5,107.0,90.0,2430.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.55011614139945
6,318.0,150.0,4190.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14.016441298870884
7,231.0,105.0,3425.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20.050510044438493
8,151.0,88.0,2740.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,25.915580259391138
9,232.0,90.0,3210.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,23.020343366938157
10,400.0,190.0,4422.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10.51733190382021
11,97.0,75.0,2265.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,29.88521257825838
12,400.0,175.0,4385.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.855865705976086
13,108.0,75.0,2265.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,36.629169037969184
14,98.0,65.0,2380.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,32.0045501153452
15,318.0,150.0,3755.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.490854720473966
16,110.0,87.0,2672.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.03891870286052
17,183.0,77.0,3530.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,29.282340741290362
18,302.0,140.0,4294.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12.825007389866759
